citation_key,source_group,cited_in_manuscript,citation_locations,cited_in_axm,citation_locations_axm,cited_in_legacy,citation_locations_legacy,entry_type,authors,title,year,venue,volume,number,pages,doi,document_url,landing_page_url,abstract,abstract_type,abstract_source_url,metadata_source,verification_status,topics,evidence_type,method,key_results,use_in_axm,limits_for_axm,notes,last_verified
aumshin2024,manuscript_bibliography,yes,sections/02_literature.tex:58; sections_axm/02_literature.tex:72,yes,sections_axm/02_literature.tex:72,yes,sections/02_literature.tex:58,techreport,"Aum, Sangmin and Shin, Yongseok",Is Software Eating the World?,2024,National Bureau of Economic Research,,32591,,10.3386/w32591,https://doi.org/10.3386/w32591,https://doi.org/10.3386/w32591,"When explaining the declining labor income share in advanced economies, the macro literature finds that the elasticity of substitution between capital and labor is greater than one.However, the vast majority of micro-level estimates shows that capital and labor are complements (elasticity less than one).Using firm-and establishment-level data from Korea, we divide capital into equipment and software, as they may interact with labor in different ways.Our estimation shows that equipment and labor are complements (elasticity 0.6), consistent with other micro-level estimates, but software and labor are substitutes (1.6), a novel finding that helps reconcile the macro vs. micro-literature elasticity discord.As the quality of software improves, labor shares fall within firms because of factor substitution and endogenously rising markups.In addition, production reallocates toward firms that use software more intensively, as they become effectively more productive.Because in the data these firms have higher markups and lower labor shares, the reallocation further raises the aggregate markup and reduces the aggregate labor share.The rise of software accounts for two-thirds of the labor share decline in Korea between 1990 and 2018.The factor substitution and the markup channels are equally important.On the other hand, the falling equipment price plays a minor role, because the factor substitution and the markup channels offset each other.",openalex_indexed_abstract,https://openalex.org/W4399990048,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
gans2024,manuscript_bibliography,yes,sections/01_introduction.tex:307; sections/02_literature.tex:99; sections/02_literature.tex:174; sections_axm/02_literature.tex:158,yes,sections_axm/02_literature.tex:158,yes,sections/01_introduction.tex:307; sections/02_literature.tex:99; sections/02_literature.tex:174,techreport,"Gans, Joshua S.",Market Power in Artificial Intelligence,2024,National Bureau of Economic Research,,32270,,10.3386/w32270,https://doi.org/10.3386/w32270,https://doi.org/10.3386/w32270,"This paper surveys the relevant existing literature that can help researchers and policy makers understand the drivers of competition in markets that constitute the provision of artificial intelligence products.The focus is on three broad markets: training data, input data, and AI predictions.It is shown that a key factor in determining the emergence and persistence of market power will be the operation of markets for data that would allow for trading data across firm boundaries.",openalex_indexed_abstract,https://openalex.org/W4393359008,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
jones2024,manuscript_bibliography,no,,no,,no,,article,"Jones, Charles I.",The AI Dilemma: Growth versus Existential Risk,2024,American Economic Review: Insights,6,4,575--590,10.1257/aeri.20230570,https://doi.org/10.1257/aeri.20230570,https://doi.org/10.1257/aeri.20230570,"Advances in artificial intelligence (AI) are a double-edged sword. On the one hand, they may increase economic growth as AI augments our ability to innovate. On the other hand, many experts worry that these advances entail existential risk: creating a superintelligence misaligned with human values could lead to catastrophic outcomes, even possibly human extinction. This paper considers the optimal use of AI technology in the presence of these opportunities and risks. Under what conditions should we continue the rapid progress of AI, and under what conditions should we stop? (JEL D11, D81, H43, I31, O31)",openalex_indexed_abstract,https://openalex.org/W4404713054,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
korinekvipra2025,manuscript_bibliography,yes,sections/01_introduction.tex:307; sections/02_literature.tex:98; sections/02_literature.tex:174; sections_axm/02_literature.tex:158,yes,sections_axm/02_literature.tex:158,yes,sections/01_introduction.tex:307; sections/02_literature.tex:98; sections/02_literature.tex:174,techreport,"Korinek, Anton and Vipra, Jai",Concentrating Intelligence: Scaling and Market Structure in Artificial Intelligence,2024,National Bureau of Economic Research,,33139,,10.3386/w33139,https://doi.org/10.3386/w33139,https://doi.org/10.3386/w33139,"This paper examines the evolving structure and competition dynamics of the rapidly growing market for foundation models, with a focus on large language models (LLMs).We describe the technological characteristics that shape the AI industry and have given rise to fierce competition among the leading players.The paper analyzes the cost structure of foundation models, emphasizing the importance of key inputs such as computational resources, data, and talent, and identifies significant economies of scale and scope that may create a tendency towards greater market concentration in the future.We explore two concerns for competition, the risk of market tipping and the implications of vertical integration, and we evaluate policy remedies that aim to maintain a competitive landscape.Looking ahead to increasingly transformative AI systems, we discuss how market concentration could translate into unprecedented accumulation of power, highlighting the broader societal stakes of competition policy.",openalex_indexed_abstract,https://openalex.org/W4404233233,OpenAlex,doi_metadata_matched,,,,,,,"Published in Economic Policy, 2025",2026-08-17
metrrebench2024,manuscript_bibliography,yes,sections/01_introduction.tex:184; sections_axm/01_introduction.tex:124,yes,sections_axm/01_introduction.tex:124,yes,sections/01_introduction.tex:184,misc,Model Evaluation and Threat Research,Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts,2024,METR,,,,,https://metr.org/blog/2024-11-22-evaluating-r-d-capabilities-of-llms/,https://metr.org/blog/2024-11-22-evaluating-r-d-capabilities-of-llms/,"RE-Bench compares language-model agents with human experts on machine-learning research-engineering tasks under different time budgets. In the original evaluation, humans retained a large advantage at the longest budget even though AI agents were competitive at shorter horizons.",editorial_summary,https://metr.org/blog/2024-11-22-evaluating-r-d-capabilities-of-llms/,METR,official_landing_page,,,,,,,,2026-08-17
sevillaroldan2024,manuscript_bibliography,yes,sections/01_introduction.tex:112,no,,yes,sections/01_introduction.tex:112,misc,"Sevilla, Jaime and Roldán, Edu",Training Compute of Frontier AI Models Grows by 4--5x per Year,2024,Epoch AI,,,,,https://epoch.ai/publications/training-compute-of-frontier-ai-models-grows-by-4-5x-per-year,https://epoch.ai/publications/training-compute-of-frontier-ai-models-grows-by-4-5x-per-year,Epoch AI's expanded model database indicates that training compute for recent notable and frontier models grew by roughly four to five times per year between 2010 and May 2024. Similar growth appears across recent large language models and models produced by leading AI companies.,source_summary,https://epoch.ai/publications/training-compute-of-frontier-ai-models-grows-by-4-5x-per-year,Epoch AI,official_landing_page,,,,,,,,2026-08-17
guerreiroetal2023,manuscript_bibliography,no,,no,,no,,techreport,"Guerreiro, Joao and Rebelo, Sergio and Teles, Pedro",Regulating Artificial Intelligence,2023,National Bureau of Economic Research,,31921,,10.3386/w31921,https://doi.org/10.3386/w31921,https://doi.org/10.3386/w31921,"We consider an environment in which there is substantial uncertainty about the potential negative external effects of AI algorithms.We find that subjecting algorithm implementation to regulatory approval or mandating testing is insufficient to implement the social optimum.When testing costs are low, a combination of mandatory testing for external effects and making developers liable for the negative external effects of their algorithms comes close to implementing the social optimum even when developers have limited liability.",openalex_indexed_abstract,https://openalex.org/W4389323839,OpenAlex,doi_metadata_matched,,,,,,,Revised May 2026,2026-08-17
trammellkorinek2023,manuscript_bibliography,yes,sections/02_literature.tex:40; sections/02_literature.tex:69; sections/02_literature.tex:120; sections/02_literature.tex:165; sections_axm/01_introduction.tex:193; sections_axm/02_literature.tex:43; sections_axm/02_literature.tex:129; sections_axm/02_literature.tex:140; sections_axm/06_conclusion.tex:66,yes,sections_axm/01_introduction.tex:193; sections_axm/02_literature.tex:43; sections_axm/02_literature.tex:129; sections_axm/02_literature.tex:140; sections_axm/06_conclusion.tex:66,yes,sections/02_literature.tex:40; sections/02_literature.tex:69; sections/02_literature.tex:120; sections/02_literature.tex:165,techreport,"Trammell, Philip and Korinek, Anton",Economic Growth under Transformative AI,2023,National Bureau of Economic Research,,31815,,10.3386/w31815,https://www.nber.org/system/files/working_papers/w31815/w31815.pdf,https://www.nber.org/papers/w31815,"Recent advances in AI may herald the near arrival of systems that can automate essentially all work. We review the macroeconomic implications of this scenario, in a framework synthesizing several strands of the relevant literature. Robustly, fully automating production alone (so that machines can self-replicate) would dramatically raise the growth rate and lower the labor share, breaking the Kaldor Facts that have long characterized frontier growth. Automating R&D (so that machines can self-improve) would accelerate the transformation, but may not produce it in isolation. Wages—the product of exploding output and a plummeting labor share—may rise or fall, depending on the returns to scale, the importance of natural resources, and the direction of technical change.",source_abstract,https://www.nber.org/papers/w31815,NBER,official_landing_page,transformative AI; production automation; research automation; growth; labor share; wages; natural resources,theory synthesis,Macroeconomic framework separating automation of ordinary production from automation of research and development.,"Full production automation can sharply raise growth and reduce labor's share; automating R&D accelerates the transformation, while wage effects depend on scale, resources, and technical change.",Supports separating the production and research automation margins and distinguishing wage levels from labor's income share.,It does not use the A×M market structure or provide the paper's exact distributional decomposition.,Revised April 2026,2026-08-17
jones2022semiendogenous,conversation_addition,no,,no,,no,,article,"Jones, Charles I.",The Past and Future of Economic Growth: A Semi-Endogenous Perspective,2022,Annual Review of Economics,14,,125--152,10.1146/annurev-economics-080521-012458,https://web.stanford.edu/~chadj/annualreview.pdf,https://www.annualreviews.org/content/journals/10.1146/annurev-economics-080521-012458,"The nonrivalry of ideas gives rise to increasing returns, a fact celebrated in Paul Romer's recent Nobel Prize. An implication is that the long-run rate of economic growth is the product of the degree of increasing returns and the growth rate of research effort; this is the essence of semi-endogenous growth theory. This review interprets past and future growth from a semi-endogenous perspective. For 50+ years, US growth has substantially exceeded its long-run rate because of rising educational attainment, declining misallocation, and rising (global) research intensity, implying that frontier growth could slow markedly in the future. Other forces push in the opposite direction. First is the prospect of “finding new Einsteins”: How many talented researchers have we missed historically because of the underdevelopment of China and India and because of barriers that discouraged women inventors? Second is the longer-term prospect that artificial intelligence could augment or even replace people as researchers. Throughout, the review highlights many opportunities for further research.",openalex_indexed_abstract,https://openalex.org/W3194025919,OpenAlex,doi_metadata_matched,semi-endogenous growth; research automation; singularity,,,,,,,2026-08-17
mollrachelrestrepo2022,conversation_addition,no,,no,,no,,article,"Moll, Benjamin and Rachel, Lukasz and Restrepo, Pascual",Uneven Growth: Automation's Impact on Income and Wealth Inequality,2022,Econometrica,90,6,2645--2683,10.3982/ECTA19417,https://benjaminmoll.com/wp-content/uploads/2019/07/UG.pdf,https://www.nber.org/papers/w28440,The benefits of new technologies accrue not only to high-skilled labor but also to owners of capital through higher capital incomes. The paper develops a tractable theory linking technology to personal income and wealth distributions and isolates a mechanism through which automation increases inequality via returns to wealth. Higher returns can coincide with stagnant wages and incomes at the bottom of the distribution.,editorial_summary,https://www.nber.org/papers/w28440,NBER and Econometrica,official_landing_page,automation; wealth inequality; income inequality; returns to wealth; wages; heterogeneous households,theory and quantitative distribution,"Heterogeneous-household automation model linking factor returns to income and wealth distributions, with a multi-asset quantitative extension.","Automation can increase the return to wealth, raise top income and wealth concentration, and limit wage gains for workers with few assets.",Clarifies why a functional decomposition of output is not enough to infer interpersonal inequality: ownership of capital and developer profit matters.,The A×M paper has a representative household and therefore does not reproduce this personal-distribution mechanism.,Concise editorial synopsis of the official abstract; it is not author-written text.,2026-08-17
nordhaus2021,manuscript_bibliography,yes,sections/02_literature.tex:39; sections/02_literature.tex:119; sections/02_literature.tex:165; sections_axm/02_literature.tex:42,yes,sections_axm/02_literature.tex:42,yes,sections/02_literature.tex:39; sections/02_literature.tex:119; sections/02_literature.tex:165,article,"Nordhaus, William D.",Are We Approaching an Economic Singularity? Information Technology and the Future of Economic Growth,2021,American Economic Journal: Macroeconomics,13,1,299--332,10.1257/mac.20170105,https://doi.org/10.1257/mac.20170105,https://doi.org/10.1257/mac.20170105,"What are the prospects for long-run economic growth? One prominent line of economic thinking is the trend toward stagnation. Stagnationism has a long history in economics, beginning prominently with Malthus and occasionally surfacing in different guises. Prominent themes here are the following: Will economic growth slow and perhaps even reverse under the weight of resource depletion? Will overpopulation and diminishing returns lower living standards? Will unchecked CO 2 emissions lead to catastrophic changes in climate and human systems? Have we depleted the store of potential great inventions? Will the aging society lead to diminished innovativeness? (JEL D83, E25, O31, O32, O41, O47)",openalex_indexed_abstract,https://openalex.org/W3123260045,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
autoretal2020superstar,conversation_addition,no,,no,,no,,article,"Autor, David and Dorn, David and Katz, Lawrence F. and Patterson, Christina and Van Reenen, John",The Fall of the Labor Share and the Rise of Superstar Firms,2020,Quarterly Journal of Economics,135,2,645--709,10.1093/qje/qjaa004,https://academic.oup.com/qje/article-pdf/135/2/645/32996805/qjaa004.pdf,https://academic.oup.com/qje/article-abstract/135/2/645/5721266,"The paper uses U.S. Economic Census microdata to assess whether the decline in labor's share reflects reallocation toward superstar firms. Industries in which concentration rises most exhibit larger labor-share declines, and much of the aggregate decline comes from reallocation toward large, productive firms with high markups and low labor shares rather than from an equal decline within every firm.",editorial_summary,https://academic.oup.com/qje/article-abstract/135/2/645/5721266,Oxford Academic,official_landing_page,labor share; superstar firms; concentration; markups; reallocation; productivity,empirical,"Firm-level panel evidence on concentration, markups, productivity, and between-firm reallocation.","Aggregate labor-share declines can reflect reallocation toward high-markup, low-labor-share firms rather than only within-firm factor substitution.",Provides an empirical market-structure counterpart to the model's separation of labor payments and monopoly profit.,"It does not identify advanced AI, inference or research compute, or a feedback-driven growth transition.",Concise editorial synopsis of the official abstract; it is not author-written text.,2026-08-17
barkai2020,conversation_addition,no,,no,,no,,article,"Barkai, Simcha",Declining Labor and Capital Shares,2020,Journal of Finance,75,5,2421--2463,10.1111/jofi.12909,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jofi.12909,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12909,"This paper presents direct measures of capital costs, equal to the product of the required rate of return on capital and the value of the capital stock. The capital share does not offset the decline in the labor share. Instead, a large increase in the share of pure profits offsets declines in the shares of both labor and capital. Industry data show that increases in concentration are associated with declines in the labor share.",source_abstract,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12909,Wiley,official_landing_page,labor share; capital share; pure profits; concentration; market power; accounting,empirical measurement,Direct measurement of capital costs and pure profits using U.S. national and industry accounts.,The decline in labor's share need not reappear as competitive capital income; both labor and capital shares can fall while pure profits rise.,Supports separating the fixed gross capital payment from developer profit when interpreting the fall in labor's share.,"The evidence concerns historical U.S. accounts and concentration, not the allocation of AI compute or the asymptotic regimes of the model.",,2026-08-17
acemoglurestrepo2019,manuscript_bibliography,yes,sections/02_literature.tex:51; sections/03_toy_model.tex:971; sections_axm/01_introduction.tex:191; sections_axm/02_literature.tex:115; sections_axm/02_literature.tex:140; sections_axm/06_conclusion.tex:65,yes,sections_axm/01_introduction.tex:191; sections_axm/02_literature.tex:115; sections_axm/02_literature.tex:140; sections_axm/06_conclusion.tex:65,yes,sections/02_literature.tex:51; sections/03_toy_model.tex:971,article,"Acemoglu, Daron and Restrepo, Pascual",Automation and New Tasks: How Technology Displaces and Reinstates Labor,2019,Journal of Economic Perspectives,33,2,3--30,10.1257/jep.33.2.3,https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.33.2.3,https://doi.org/10.1257/jep.33.2.3,"We present a framework for understanding the effects of automation and other types of technological changes on labor demand, and use it to interpret changes in US employment over the recent past. At the center of our framework is the allocation of tasks to capital and labor—the task content of production. Automation, which enables capital to replace labor in tasks it was previously engaged in, shifts the task content of production against labor because of a displacement effect. As a result, automation always reduces the labor share in value added and may reduce labor demand even as it raises productivity. The effects of automation are counterbalanced by the creation of new tasks in which labor has a comparative advantage. The introduction of new tasks changes the task content of production in favor of labor because of a reinstatement effect, and always raises the labor share and labor demand. We show how the role of changes in the task content of production—due to automation and new tasks—can be inferred from industry-level data. Our empirical decomposition suggests that the slower growth of employment over the last three decades is accounted for by an acceleration in the displacement effect, especially in manufacturing, a weaker reinstatement effect, and slower growth of productivity than in previous decades.",openalex_indexed_abstract,https://openalex.org/W2922903482,OpenAlex,doi_metadata_matched,automation; new tasks; displacement; reinstatement; labor share; employment; wages,theory and empirical decomposition,"Task framework separating automation's displacement effect from the reinstatement effect of new human tasks, combined with an industry-level empirical decomposition.",Automation lowers labor demand and labor's share through displacement; new tasks raise both through reinstatement.,Establishes the general distributional mechanism that the A×M paper takes as known rather than claiming as new.,"It does not model AI-research feedback, rival inference and research compute, monopoly pricing, or delayed explosive growth.",,2026-08-17
aghionjonesjones2019,manuscript_bibliography,yes,sections/02_literature.tex:34; sections/02_literature.tex:92; sections/02_literature.tex:119; sections/02_literature.tex:150; sections/03_toy_model.tex:1792; sections/04_task_extension.tex:14; sections_axm/02_literature.tex:39; sections_axm/02_literature.tex:84; sections_axm/04_growth_regimes.tex:32,yes,sections_axm/02_literature.tex:39; sections_axm/02_literature.tex:84; sections_axm/04_growth_regimes.tex:32,yes,sections/02_literature.tex:34; sections/02_literature.tex:92; sections/02_literature.tex:119; sections/02_literature.tex:150; sections/03_toy_model.tex:1792; sections/04_task_extension.tex:14,incollection,"Aghion, Philippe and Jones, Benjamin F. and Jones, Charles I.",Artificial Intelligence and Economic Growth,2019,The Economics of Artificial Intelligence: An Agenda,,,237--290,,https://www.nber.org/papers/w23928.pdf,https://www.nber.org/papers/w23928,"This paper examines the potential impact of artificial intelligence (A.I.) on economic growth. We model A.I. as the latest form of automation, a broader process dating back more than 200 years. Electricity, internal combustion engines, and semiconductors facilitated automation in the last century, but A.I. now seems poised to automate many tasks once thought to be out of reach, from driving cars to making medical recommendations and beyond. How will this affect economic growth and the division of income between labor and capital? What about the potential emergence of singularities and superintelligence? How will the linkages between A.I. and growth be mediated by firm-level considerations, including organization and market structure? The goal throughout is to refine a set of critical questions about A.I. and economic growth and to contribute to shaping an agenda for the field. One theme that emerges is based on Baumol's cost disease insight: growth may be constrained not by what we are good at but rather by what is essential and yet hard to improve.",source_abstract,https://www.nber.org/papers/w23928,NBER,manual_url,artificial intelligence; automation; economic growth; bottlenecks; Baumol cost disease; singularity,theory and illustrative simulation,"Task-automation extensions of growth models, including automation in goods and idea production and essential-task bottlenecks.","Automation can raise growth sharply, but essential tasks that remain difficult to automate can bind aggregate growth for a prolonged period.",Early antecedent for the claim that bottlenecks can keep aggregate growth modest even while automation advances.,"The numerical automation path is exogenous, so it is not the closest precedent for the endogenous timing of the A×M takeoff.",,2026-08-17
acemoglurestrepo2018,conversation_addition,no,,no,,no,,article,"Acemoglu, Daron and Restrepo, Pascual","The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment",2018,American Economic Review,108,6,1488--1542,10.1257/aer.20160696,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20160696,https://www.aeaweb.org/articles?id=10.1257/aer.20160696,"We examine the concerns that new technologies will render labor redundant in a framework in which tasks previously performed by labor can be automated and new versions of existing tasks, in which labor has a comparative advantage, can be created. In a static version where capital is fixed and technology is exogenous, automation reduces employment and the labor share, and may even reduce wages, while the creation of new tasks has the opposite effects. Our full model endogenizes capital accumulation and the direction of research toward automation and the creation of new tasks. If the long-run rental rate of capital relative to the wage is sufficiently low, the long-run equilibrium involves automation of all tasks. Otherwise, there exists a stable balanced growth path in which the two types of innovations go hand-in-hand.",source_abstract,https://www.aeaweb.org/articles?id=10.1257/aer.20160696,American Economic Association,official_landing_page,automation; tasks; labor share; wages; factor shares; endogenous growth,theory,Task-based growth model with endogenous capital accumulation and directed innovation toward automation or new human tasks.,"Automation displaces labor and lowers its income share; new human tasks generate a reinstatement force. Depending on relative factor costs, the long run can feature full automation or a stable balanced-growth path with both types of innovation.",Canonical antecedent for the displacement--reinstatement mechanism and for the possibility that wages and labor's share move differently.,"It does not separate inference from research compute, model monopoly rents, or characterize the delayed feedback-driven takeoff studied in the A×M paper.",Excerpt from the official author abstract; the omitted closing sentences discuss stability and inequality with heterogeneous skills.,2026-08-17
karabarbounisneiman2018factorless,conversation_addition,no,,no,,no,,techreport,"Karabarbounis, Loukas and Neiman, Brent",Accounting for Factorless Income,2018,NBER Working Paper,,24404,,10.3386/w24404,https://www.nber.org/system/files/working_papers/w24404/w24404.pdf,https://www.nber.org/papers/w24404,"Comparing U.S. GDP with measured labor payments and imputed capital rental payments leaves a large and volatile residual, which the paper calls factorless income. It evaluates three interpretations of that residual: economic profits, unmeasured capital, or deviations of the rental rate from standard measures. The preferred interpretation materially changes measured factor shares, technology growth, and functional inequality.",editorial_summary,https://www.nber.org/papers/w24404,NBER,official_landing_page,factorless income; profits; unmeasured capital; rental rate; factor shares; accounting,measurement and accounting,National-accounts decomposition under alternative interpretations of output not assigned to measured labor or imputed capital services.,"The inferred distribution and technology depend critically on whether the residual is treated as profit, unmeasured capital, or a rental-rate wedge.","Motivates explicit accounting of capital payments, compute resource uses, wages, and developer profit instead of assigning the residual mechanically to capital or rents.","It is an accounting exercise, not a model of AI services, research feedback, or endogenous takeoff.",Concise editorial synopsis of the official abstract; it is not author-written text.,2026-08-17
korinekstiglitz2017,conversation_addition,no,,no,,no,,techreport,"Korinek, Anton and Stiglitz, Joseph E.",Artificial Intelligence and Its Implications for Income Distribution and Unemployment,2017,NBER Working Paper,,24174,,10.3386/w24174,https://www.nber.org/system/files/working_papers/w24174/w24174.pdf,https://www.nber.org/papers/w24174,"Inequality is one of the main challenges posed by the proliferation of artificial intelligence and other forms of worker-replacing technological progress. The paper distinguishes two main distributional channels: surplus accruing to innovators and redistribution arising from factor-price changes. It also studies policy responses and the channels through which technological progress may produce technological unemployment, including in a singularity where machines dominate human labor.",editorial_summary,https://www.nber.org/papers/w24174,NBER,official_landing_page,artificial intelligence; income distribution; innovator surplus; factor prices; unemployment; policy,theory and policy taxonomy,"Taxonomy and a set of stylized models of worker-replacing technical change, factor-price redistribution, innovator surplus, and policy.",AI can redistribute income both through factor prices and through rents captured by innovators; those channels require different policy responses.,Supports the distinction between redistribution through factor prices and surplus captured by the innovator.,"It does not provide the A×M technology, the two substitution thresholds, or the numerical delayed-takeoff transition.",Concise editorial synopsis of the official abstract; it is not author-written text.,2026-08-17
karabarbounisneiman2014,manuscript_bibliography,yes,sections/02_literature.tex:55,no,,yes,sections/02_literature.tex:55,article,"Karabarbounis, Loukas and Neiman, Brent",The Global Decline of the Labor Share,2014,Quarterly Journal of Economics,129,1,61--103,10.1093/qje/qjt032,https://doi.org/10.1093/qje/qjt032,https://doi.org/10.1093/qje/qjt032,"Abstract The stability of the labor share of income is a key foundation in macroeconomic models. We document, however, that the global labor share has significantly declined since the early 1980s, with the decline occurring within the large majority of countries and industries. We show that the decrease in the relative price of investment goods, often attributed to advances in information technology and the computer age, induced firms to shift away from labor and toward capital. The lower price of investment goods explains roughly half of the observed decline in the labor share, even when we allow for other mechanisms influencing factor shares, such as increasing profits, capital-augmenting technology growth, and the changing skill composition of the labor force. We highlight the implications of this explanation for welfare and macroeconomic dynamics.",openalex_indexed_abstract,https://openalex.org/W2155379226,OpenAlex,doi_metadata_matched,labor share; capital price; CES production; substitution elasticity; investment goods,theory and empirical measurement,CES capital--labor framework and cross-country evidence linking the relative price of investment to labor-share movements.,"When capital and labor are gross substitutes, a lower relative price of investment can shift production toward capital and reduce labor's share.",Provides the classic CES benchmark for why the location of an elasticity relative to one can change factor-share dynamics.,"Its elasticity is between aggregate capital and labor, not between labor and quality-adjusted AI services; the two parameters are not empirically interchangeable.",,2026-08-17
duffypapageorgiou2000,manuscript_bibliography,yes,sections/02_literature.tex:23; sections/03_toy_model.tex:793; sections_axm/02_literature.tex:71,yes,sections_axm/02_literature.tex:71,yes,sections/02_literature.tex:23; sections/03_toy_model.tex:793,article,"Duffy, John and Papageorgiou, Chris",A Cross-Country Empirical Investigation of the Aggregate Production Function Specification,2000,Journal of Economic Growth,5,1,87--120,10.1023/A:1009830421147,https://www.chrispapageorgiou.com/papers/jeg6.pdf,https://ideas.repec.org/a/kap/jecgro/v5y2000i1p87-120.html,"Using a panel of 82 countries over 28 years, the paper estimates an aggregate CES production function and rejects Cobb-Douglas for the full sample. It finds greater capital-labor substitutability among richer countries and lower substitutability among poorer countries, while emphasizing that substitution above one does not by itself guarantee endogenous growth.",source_abstract,https://ideas.repec.org/a/kap/jecgro/v5y2000i1p87-120.html,Journal of Economic Growth/RePEc,official_landing_page,,,,,,,,2026-08-17
kruselletral2000,manuscript_bibliography,yes,sections/02_literature.tex:27,no,,yes,sections/02_literature.tex:27,article,"Krusell, Per and Ohanian, Lee E. and Ríos-Rull, José-Víctor and Violante, Giovanni L.",Capital-Skill Complementarity and Inequality: A Macroeconomic Analysis,2000,Econometrica,68,5,1029--1053,10.1111/1468-0262.00150,https://doi.org/10.1111/1468-0262.00150,https://doi.org/10.1111/1468-0262.00150,"The paper estimates a macroeconomic production structure with capital-skill complementarity. Structures capital enters an outer production layer, while equipment capital is combined with skilled and unskilled labor in nested CES composites; changes in observed inputs account for much of the movement in the U.S. skill premium.",editorial_summary,https://doi.org/10.1111/1468-0262.00150,Econometrica/Wiley,official_landing_page,,,,,,,This editorial synopsis emphasizes the production structure relevant for the capital-deepening benchmark.,2026-08-17
jones1995,manuscript_bibliography,yes,sections/01_introduction.tex:234; sections/02_literature.tex:10; sections_axm/01_introduction.tex:78; sections_axm/02_literature.tex:5; sections_axm/02_literature.tex:6; sections_axm/02_literature.tex:12; sections_axm/03_model.tex:312,yes,sections_axm/01_introduction.tex:78; sections_axm/02_literature.tex:5; sections_axm/02_literature.tex:6; sections_axm/02_literature.tex:12; sections_axm/03_model.tex:312,yes,sections/01_introduction.tex:234; sections/02_literature.tex:10,article,"Jones, Charles I.",R&D-Based Models of Economic Growth,1995,Journal of Political Economy,103,4,759--784,10.1086/262002,https://doi.org/10.1086/262002,https://doi.org/10.1086/262002,"This paper argues that the ""scale effects"" prediction of many recent R & D-based models of growth is inconsistent with the time-series evidence from industrialized economies. A modified version of the Romer model that is consistent with this evidence is proposed, but the extended model alters a key implication usually found in endogenous growth theory. Although growth in the extended model is generated endogenously through R & D, the long-run growth rate depends only on parameters that are usually taken to be exogenous, including the rate of population growth.",openalex_indexed_abstract,https://openalex.org/W2052139061,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
kremer1993,conversation_addition,no,,no,,no,,article,"Kremer, Michael",Population Growth and Technological Change: One Million B.C. to 1990,1993,Quarterly Journal of Economics,108,3,681--716,10.2307/2118405,https://academic.oup.com/qje/article-abstract/108/3/681/1881850,https://academic.oup.com/qje/article-abstract/108/3/681/1881850,"The nonrivalry of technology, as modeled in the endogenous growth Uterature, implies that high population spurs technological change. This paper constructs and empirically tests a model of long-run world population growth combining this implication with the Malthusian assumption that technology limits population. The model predicts that over most of history, the growth rate of population will be proportional to its level. Empirical tests support this prediction and show that historically, among societies with no possibility for technological contact, those with larger initial populations have had faster technological change and population growth.",openalex_indexed_abstract,https://openalex.org/W2089295353,OpenAlex,doi_metadata_matched,population growth; technological change; long-run growth; hyperbolic dynamics,,,,,,,2026-08-17
vinge1993,conversation_addition,no,,no,,no,,inproceedings,"Vinge, Vernor",The Coming Technological Singularity: How to Survive in the Post-Human Era,1993,Vision 21: Interdisciplinary Science and Engineering in the Era of Cyberspace,,,,,https://ntrs.nasa.gov/api/citations/19940022856/downloads/19940022856.pdf,https://ntrs.nasa.gov/citations/19940022856,The paper argues that technology may soon create intelligence greater than the human level and examines whether that transition can be avoided or guided so that humanity survives.,source_abstract,https://ntrs.nasa.gov/citations/19940022856,manual,manual_url,technological singularity; superhuman intelligence; AI forecasting,,,,,,,2026-08-17
